Job ID,Job Name,Submit,Start,End,Runtime / h,Scheduling Coefficient,Job Size / Nodes,Charged Usage / CUs,Raw Usage / CUs
1821905,u-ch427-n216-template-start-paper-x-00.fcm_make2_drivers.19880901T0000Z,2022-06-15 00:31:27,2022-06-15 00:31:44,2022-06-15 00:31:56,0:00:12,0.414,1,0.003,0.003
1821906,u-ch427-n96-template-start-paper-x-00.ens_setup_all.19880901T0000Z,2022-06-15 00:31:35,2022-06-15 00:31:44,2022-06-15 00:32:06,0:00:22,0.71,1,0.006,0.006
1821907,u-ch427-n96-template-start-paper-x-00.install_cold.19880901T0000Z,2022-06-15 00:31:36,2022-06-15 00:31:36,2022-06-15 00:31:46,0:00:10,1,1,0.003,0.003
1821908,u-ch427-n96-template-start-paper-x-00.xml.19880901T0000Z,2022-06-15 00:31:36,2022-06-15 00:31:44,2022-06-15 00:31:56,0:00:12,0.6,1,0.003,0.003
1821909,u-ch427-n216-template-start-paper-x-00.fcm_make2_um.19880901T0000Z,2022-06-15 00:31:46,2022-06-15 00:32:43,2022-06-15 00:41:27,0:08:44,0.902,1,0.146,0.146
1821910,u-ch427-n96-template-start-paper-x-00.fcm_make2_drivers.19880901T0000Z,2022-06-15 00:31:51,2022-06-15 00:32:43,2022-06-15 00:32:57,0:00:14,0.212,1,0.004,0.004
1821911,u-ch427-n96-template-start-paper-x-00.fcm_make2_um.19880901T0000Z,2022-06-15 00:32:11,2022-06-15 00:32:43,2022-06-15 00:41:13,0:08:30,0.941,1,0.142,0.142
1821914,u-ch427-n512-template-start-paper-x-00.install_ancil.19880901T0000Z,2022-06-15 00:35:54,2022-06-15 00:35:57,2022-06-15 00:36:08,0:00:11,0.786,1,0.003,0.003
1821915,u-ch427-n216-template-start-paper-x-00.install_ancil.19880901T0000Z,2022-06-15 00:36:21,2022-06-15 00:36:22,2022-06-15 00:36:30,0:00:08,0.889,1,0.002,0.002
1821917,u-ch427-n96-template-start-paper-x-00.install_ancil.19880901T0000Z,2022-06-15 00:36:42,2022-06-15 00:36:44,2022-06-15 00:36:54,0:00:10,0.833,1,0.003,0.003
1821947,u-ch427-n512-template-start-paper-x-00.atmos_main.19880901T0000Z,2022-06-15 00:41:29,2022-06-15 03:31:15,2022-06-15 04:53:12,1:21:57,0.326,75,0,102.437
1821948,u-ch427-n216-template-start-paper-x-00.atmos_main.19880901T0000Z,2022-06-15 00:41:59,2022-06-15 00:42:43,2022-06-15 00:45:44,0:03:01,0.804,36,0,1.81
1821949,u-ch427-n96-template-start-paper-x-00.atmos_main.19880901T0000Z,2022-06-15 00:42:21,2022-06-15 00:42:43,2022-06-15 00:44:09,0:01:26,0.796,11,0,0.263
1822106,u-ch427-n216-template-start-paper-x0-00.ens_setup_all.19880901T0000Z,2022-06-15 01:26:13,2022-06-15 01:26:14,2022-06-15 01:26:44,0:00:30,0.968,1,0.008,0.008
1822107,u-ch427-n216-template-start-paper-x0-00.install_cold.19880901T0000Z,2022-06-15 01:26:13,2022-06-15 01:26:14,2022-06-15 01:26:37,0:00:23,0.958,1,0.006,0.006
