SUITE,TIME,INITIAL,JOB_ID,JOB_PID,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,TOOK1,TOOK2,TOOK3
u-ch427-n1280-template,,,,,,,,,,,
u-ch427-n1280-template-32-32,,,,,,,,,,,
u-ch427-n1280-template-64-32,,,,,,,,,,,
u-ch427-n1280-template-64-64,,,,,,,,,,,
u-ch427-n1280-template-90-60,,,,,,,,,,,
u-ch427-n1280-template-96-32,,,,,,,,,,,
u-ch427-n1280-template-queue,,,,,,,,,,,
u-ch427-n216-single-ens02,177.601,68.23,902722,162877,2021-12-17T14:32:19Z,2021-12-17T14:45:02Z,2021-12-17T14:48:39Z,SUCCEEDED,12.026,0.617,0.585
u-ch427-n216-single-ens03,173.671,83.50,902724,182451,2021-12-17T14:32:22Z,2021-12-17T15:06:00Z,2021-12-17T15:09:34Z,SUCCEEDED,11.108,0.598,0.597
u-ch427-n216-single-ens04,185.932,92.72,902718,182858,2021-12-17T14:32:07Z,2021-12-17T14:33:00Z,2021-12-17T14:36:49Z,SUCCEEDED,11.731,0.614,0.595
u-ch427-n216-single-ens05,213.536,108.87,902721,136372,2021-12-17T14:32:18Z,2021-12-17T15:00:59Z,2021-12-17T15:05:36Z,SUCCEEDED,17.621,0.603,0.580
u-ch427-n216-single-ens06,219.278,111.14,902725,106594,2021-12-17T14:32:52Z,2021-12-17T14:52:59Z,2021-12-17T14:57:50Z,SUCCEEDED,22.182,0.623,0.596
u-ch427-n216-single-ens07,220.780,118.04,902727,11731,2021-12-17T14:33:07Z,2021-12-17T14:41:59Z,2021-12-17T14:46:48Z,SUCCEEDED,13.018,0.604,0.598
u-ch427-n216-single-ens08,222.044,120.32,902728,252263,2021-12-17T14:33:15Z,2021-12-17T14:37:58Z,2021-12-17T14:43:07Z,SUCCEEDED,12.435,0.612,0.613
u-ch427-n216-single-ens09,234.622,130.53,902755,5773,2021-12-17T14:43:26Z,2021-12-17T14:48:00Z,2021-12-17T14:53:27Z,SUCCEEDED,12.766,0.651,0.617
u-ch427-n216-single-ens10,244.286,138.05,902731,51889,2021-12-17T14:33:31Z,2021-12-17T14:46:01Z,2021-12-17T14:51:54Z,SUCCEEDED,12.818,0.633,0.619
u-ch427-n216-single-ens11,248.690,140.79,902756,76292,2021-12-17T14:43:42Z,2021-12-17T14:53:56Z,2021-12-17T14:59:55Z,SUCCEEDED,12.793,0.646,0.620
u-ch427-n216-single-ens12,251.467,139.27,902794,146003,2021-12-17T14:53:50Z,2021-12-17T15:39:56Z,2021-12-17T15:46:02Z,SUCCEEDED,13.166,0.618,0.616
u-ch427-n216-single-ens13,268.925,154.11,902795,25391,2021-12-17T14:54:10Z,2021-12-17T15:23:56Z,2021-12-17T15:30:40Z,SUCCEEDED,14.881,0.637,0.628
u-ch427-n216-single-ens14,271.575,152.54,902797,206056,2021-12-17T14:54:15Z,2021-12-17T15:46:57Z,2021-12-17T15:53:48Z,SUCCEEDED,13.644,0.679,0.609
u-ch427-n216-single-ens15,287.261,160.41,903018,258979,2021-12-17T16:04:52Z,2021-12-17T16:06:00Z,2021-12-17T16:13:05Z,SUCCEEDED,17.990,0.675,0.628
