SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n216-start-paper-02,126,13.3,137.05,1.09,0.98,1.35,1.07,20.6,21.25,11.29,,,,
u-ch427-n216-start-paper-03,126,9.87,129.61,1.03,0.98,1.11,1.07,20.53,17.43,11.2,,,,
u-ch427-n216-start-paper-04,126,12.61,134.49,1.07,0.99,1.21,1.07,20.74,19.0,11.21,,,,
u-ch427-n216-start-paper-05,126,13.49,138.9,1.1,1.07,1.39,1.2,22.4,21.92,12.63,,,,
u-ch427-n216-start-paper-06,126,13.25,137.13,1.09,1.0,1.23,1.08,20.95,19.42,11.35,,,,
u-ch427-n216-start-paper-07,126,12.51,140.93,1.12,1.06,1.24,1.17,22.34,19.57,12.24,,,,
u-ch427-n216-start-paper-08,126,12.97,135.1,1.07,1.0,1.2,1.09,20.96,18.87,11.47,,,,
u-ch427-n216-start-paper-09,126,9.67,131.33,1.04,1.01,1.2,1.12,21.23,18.83,11.72,,,,
u-ch427-n216-start-paper-10,126,13.16,136.68,1.08,1.05,1.27,1.16,22.02,20.02,12.22,,,,
u-ch427-n216-start-paper-11,126,10.24,133.58,1.06,1.03,1.27,1.14,21.59,19.94,11.97,,,,
u-ch427-n216-start-paper-12,126,11.41,136.67,1.08,1.07,1.29,1.19,22.51,20.35,12.5,,,,
u-ch427-n216-start-paper-13,126,9.05,136.13,1.08,1.1,1.48,1.24,23.01,23.33,13.07,,,,
u-ch427-n216-start-paper-14,126,10.33,149.4,1.19,1.31,2.12,1.59,27.5,33.35,16.65,,,,
u-ch427-n216-start-paper-15,126,10.61,152.74,1.21,1.37,2.27,1.68,28.74,35.78,17.67,,,,
u-ch427-n216-start-paper-16,126,12.16,170.21,1.35,1.53,3.22,1.95,32.2,50.64,20.51,,,,
u-ch427-n216-start-paper-17,126,18.32,172.52,1.37,1.52,2.92,1.89,32.02,45.96,19.88,,,,
u-ch427-n216-start-paper-18,126,14.96,185.15,1.47,1.67,3.88,2.15,35.0,61.08,22.53,,,,
u-ch427-n216-start-paper-19,126,15.61,180.42,1.43,1.84,3.44,2.4,38.54,54.14,25.21,,,,
u-ch427-n216-start-paper-20,126,15.39,215.72,1.71,2.28,5.34,3.26,47.86,84.07,34.2,,,,
u-ch427-n216-start-paper-21,126,16.23,206.99,1.64,2.6,5.26,4.17,54.67,82.91,43.81,,,,
u-ch427-n216-start-paper-22,126,16.27,209.53,1.66,2.31,5.03,3.19,48.43,79.28,33.48,,,,
u-ch427-n216-start-paper-23,126,16.75,216.07,1.71,2.34,5.33,3.21,49.23,83.93,33.69,,,,
u-ch427-n216-start-paper-24,126,13.24,213.67,1.7,2.23,5.34,2.92,46.91,84.15,30.71,,,,
u-ch427-n216-start-paper-25,126,16.54,272.03,2.16,2.67,7.44,3.8,56.17,117.18,39.87,,,,
u-ch427-n216-start-paper-26,126,15.08,220.39,1.75,2.62,5.68,3.6,54.99,89.41,37.8,,,,
u-ch427-n216-start-paper-27,126,15.15,244.68,1.94,2.99,6.91,4.27,62.72,108.76,44.89,,,,
u-ch427-n216-start-paper-28,126,17.74,237.61,1.89,2.82,6.68,4.05,59.13,105.24,42.54,,,,
u-ch427-n216-start-paper-29,126,15.75,225.0,1.79,2.35,6.07,3.44,49.38,95.61,36.17,,,,
u-ch427-n216-start-paper-30,126,13.41,243.37,1.93,2.95,7.02,4.03,61.85,110.55,42.27,,,,
u-ch427-n216-start-paper-40,126,28.31,328.28,2.61,4.79,10.98,6.95,100.49,172.97,73.02,,,,
u-ch427-n216-start-paper-50,126,10.07,407.33,3.23,5.36,16.23,8.02,112.59,255.65,84.21,,,,
u-ch427-n216-start-paper-60,126,17.74,675.97,5.36,9.81,30.52,15.15,205.95,480.65,159.09,,,,
u-ch427-n216-start-paper-60-no-io,126,17.09,134.89,1.07,0.94,0.98,1.01,19.82,15.5,10.57,,,,
u-ch427-n216-start-paper-60-no-io-no-files,126,15.33,110.56,0.88,0.76,0.81,0.83,16.01,12.8,8.72,,,,
u-ch427-n216-start-paper-70,126,18.44,834.07,6.62,13.29,39.86,20.88,279.06,627.73,219.26,,,,
u-ch427-n216-start-paper-ms-00,126,12.14,107.63,0.85,0.76,0.81,0.83,16.01,12.78,8.75,,,,
u-ch427-n216-start-paper-ms-x0-prec-00,126,11.65,106.14,0.84,0.76,0.81,0.83,15.86,12.69,8.67,,,,
u-ch427-n216-start-paper-ms-x0-prec-01,126,13.55,133.49,1.06,0.97,1.08,1.05,20.46,16.96,11.04,,,,
u-ch427-n216-start-paper-ms-x0-prec-02,126,10.53,131.69,1.05,1.0,1.18,1.1,21.03,18.52,11.56,,,,
u-ch427-n216-start-paper-ms-x0-prec-03,126,8.54,136.56,1.08,1.12,1.56,1.29,23.43,24.59,13.54,,,,
u-ch427-n216-start-paper-ms-x0-prec-04,126,12.57,136.7,1.08,1.04,1.34,1.16,21.87,21.12,12.21,,,,
u-ch427-n216-start-paper-ms-x0-prec-05,126,12.05,152.34,1.21,1.22,1.81,1.35,25.52,28.5,14.15,,,,
u-ch427-n216-start-paper-ms-x0-prec-06,126,13.12,151.23,1.2,1.3,2.14,1.54,27.4,33.71,16.21,,,,
u-ch427-n216-start-paper-ms-x0-prec-07,126,8.65,158.47,1.26,1.51,2.68,1.84,31.66,42.27,19.32,,,,
u-ch427-n216-start-paper-ms-x0-prec-08,126,12.95,167.75,1.33,1.67,2.97,2.09,35.0,46.84,21.9,,,,
u-ch427-n216-start-paper-ms-x0-prec-09,126,9.82,175.35,1.39,1.85,3.56,2.36,38.81,56.12,24.75,,,,
u-ch427-n216-start-paper-ms-x0-prec-10,126,12.96,187.08,1.48,2.06,3.86,2.65,43.28,60.82,27.85,,,,
u-ch427-n216-start-paper-ms-x0-prec-20,126,12.99,356.57,2.83,5.01,13.16,7.39,105.22,207.23,77.59,,,,
u-ch427-n216-start-paper-ms-x0-prec-30,126,13.65,463.54,3.68,5.37,19.54,8.21,112.79,307.75,86.24,,,,
u-ch427-n216-start-paper-ms-x0-prec-40,126,15.59,650.62,5.16,9.2,30.28,14.7,193.26,476.91,154.4,,,,
u-ch427-n216-start-paper-ms-x0-prec-50,126,21.42,809.94,6.43,11.46,38.06,17.71,240.67,599.42,185.91,,,,
u-ch427-n216-start-paper-ms-x0-prec-60,126,8.36,1309.54,10.39,18.67,65.7,30.33,392.07,1034.8,318.48,,,,
u-ch427-n216-start-paper-ms-x0-prec-70,126,8.77,1605.9,12.75,24.22,83.11,37.63,508.72,1309.06,395.13,,,,
u-ch427-n216-start-paper-prec-00,126,12.18,107.2,0.85,0.76,0.81,0.83,15.95,12.73,8.71,,,,
u-ch427-n216-start-paper-x0-00,126,14.28,109.21,0.87,0.76,0.81,0.83,15.95,12.72,8.75,,,,
u-ch427-n216-start-paper-x0-01,126,10.34,130.79,1.04,0.98,1.05,1.07,20.64,16.57,11.2,,,,
u-ch427-n216-start-paper-x0-02,126,13.42,133.6,1.06,0.97,1.08,1.05,20.37,16.94,10.99,,,,
u-ch427-n216-start-paper-x0-03,126,14.19,146.82,1.17,1.14,1.52,1.29,23.97,23.92,13.59,,,,
u-ch427-n216-start-paper-x0-04,126,14.2,137.45,1.09,1.0,1.13,1.09,21.07,17.78,11.46,,,,
