SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK,PROCX,PROCY,XIOS_NPROC
final-total-all-suites.csv,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,,,,
n1280,,,,,,,,,,,,,,,,,
n216-ens,,,,,,,,,,,,,,,,,
n216-paper,,,,,,,,,,,,,,,,,
n512-ens,,,,,,,,,,,,,,,,,
n512-paper,,,,,,,,,,,,,,,,,
n96-ens,,,,,,,,,,,,,,,,,
n96-paper,,,,,,,,,,,,,,,,,
old-xml-scripts,,,,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,,,,
server,,,,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,,,,
u-ch427-n1280-v2-x5-orig-09, 1778.804 ,363.07,,,1,,126,2022-10-10T11:14:09Z,2022-10-10T18:06:58Z,2022-10-10T18:38:58Z,SUCCEEDED,2428334,150134,5.724,94,64,64
u-ch427-n1280-v2-x5-orig8-00, 1726.867 ,333.42,,,1,,126,2022-10-15T22:17:19Z,2022-10-15T22:49:35Z,2022-10-15T23:20:17Z,SUCCEEDED,2455635,134537,1.903,94,64,64
u-ch427-n1280-v2-x5-orig8-01, 1862.556 ,391.59,,,1,,126,2022-10-15T22:17:31Z,2022-10-15T22:49:35Z,2022-10-15T23:22:56Z,SUCCEEDED,2455636,61023,1.983,94,64,64
u-ch427-n1280-v2-x5-orig8-02, 1839.654 ,376.48,,,1,,126,2022-10-15T22:17:43Z,2022-10-15T22:50:07Z,2022-10-15T23:22:29Z,SUCCEEDED,2455637,199631,2.159,94,64,64
u-ch427-n1280-v2-x5-orig8-03, 1838.483 ,376.50,,,1,,126,2022-10-15T22:17:57Z,2022-10-15T22:50:07Z,2022-10-15T23:22:28Z,SUCCEEDED,2455638,238213,2.004,94,64,64
u-ch427-n1280-v2-x5-orig8-04, 1858.260 ,366.33,,,1,,126,2022-10-15T22:18:07Z,2022-10-15T22:50:38Z,2022-10-15T23:23:26Z,SUCCEEDED,2455639,22151,2.000,94,64,64
u-ch427-n1280-v2-x5-orig8-05, 1871.906 ,352.72,,,1,,126,2022-10-15T22:18:20Z,2022-10-15T22:51:10Z,2022-10-15T23:24:06Z,SUCCEEDED,2455641,157415,2.054,94,64,64
u-ch427-n1280-v2-x5-orig8-06, 1826.609 ,338.21,,,1,,126,2022-10-15T22:18:31Z,2022-10-15T22:51:41Z,2022-10-15T23:23:55Z,SUCCEEDED,2455642,177780,5.561,94,64,64
u-ch427-n1280-v2-x5-orig8-07, 1764.124 ,333.49,,,1,,126,2022-10-15T22:59:58Z,2022-10-15T23:55:56Z,2022-10-16T00:27:23Z,SUCCEEDED,2455741,67864,2.084,94,64,64
u-ch427-n1280-v2-x5-orig8-08, 1843.267 ,354.24,,,1,,126,2022-10-15T23:00:07Z,2022-10-16T00:05:17Z,2022-10-16T00:37:56Z,SUCCEEDED,2455742,248092,2.001,94,64,64
